Member ID,Last name,First name,Phone 1,Phone 2,Company,Street,Apt/Ste/Unit,City,State,Country,Zip Code,Membership end date,Website
francisellen@email.com,Francis,Ellen,174.469.3483x5013,001-603-374-1226x1406,Chan Ltd,3700 Gilmore Way,,Burnaby,BC,Canada,V5G 4M1,11/30/2022,www.hess.net
droletramon@email.com,Drolet,Ramon,073.458.6092x9422,9434040481,Harrell PLC,375 Chemin Saint Francois Quest,,Saint-Francois-de-la-Rivere-du-Sud,QC,Canada,G0R 3A0,1/27/2022,frazier-stephenson.org
belleypierre@email.com,Belley,Pierre,(220)915-3707x535,760-365-3897,Mayer PLC,1250 rue Guy Bureau ,,Montreal,QC,Canada,H3H 2T4,4/30/2022,nixon.com
zimmermannron@email.com,Zimmermann,Ron,(134)470-3456x44117,+1-195-208-7749x5746,"Bautista, Blevins and Joyce",1241 rue Cascades,,Chateauguay,QC,Canada,J6J 4Z2,8/26/2022,bean.net
aaramfrancisco@email.com,Aaram,Francisco,(337)643-5663,182.859.7395x1302,Mercer and Sons,Rudsveien 20-A,,1346 GJETTUM,,Norway,,1/31/2022,www.nixon.com
brokerbruce@email.com,Broker,Bruce,437-970-3543x058,+1-484-993-6871x192,Cardenas-Carney,Dordognelaan 87,,5627 HC Eindhoven,,Netherlands,,3/14/2022,blackwell-stout.net
mercuregarry@email.com,Mercure,Garry,(408)278-0968x17796,526.729.4712,Garrett-Gallagher,18055 Meloche,,Pierrefond,QC,Canada,H9K 1K1,2/29/2022,www.ruiz.com
paquinhoward@email.com,Paquin,Howard,156-363-2974,101.514.2162x8945,"Keith, Howard and Hawkins",500 Palladium Dr,,Ottawa,ON,Canada,K2V 1C2,6/12/2022,www.livingston.com
hoonhamid@email.com,Hoon,Hamid,6327004999,001-375-954-4398x4599,Huber-Castro,Level 3 Pico Creative Centre,Apt. 5,SINGAPORE,,Singapore,339411,6/28/2022,www.atkinson.net
cookmarie@email.com,Cook,Marie,001-499-415-9248x7727,+1-960-370-6804x659,Rose Ltd,202-5288 Melbourne St,,Vancouver,BC,Canada,V5R 6E6,4/30/2022,www.glover.org
facconerobert@email.com,Faccone,Robert,894-188-0945x0557,8198087937,Gentry-Waters,233 Boylan,,Dorval,QC,Canada,H9S 5J7,6/30/2022,jimenez.net
wadsworthdave@email.com,Wadsworth,Dave,001-744-078-1419x1464,(463)492-5230,Fisher PLC,362 Bedford Pk Ave,,Toronto,ON,Canada,M5M 1J8,10/22/2022,coffey.net
di marioross@email.com,Di Mario,Ross,-5013,467.716.8716x4461,"Thompson, Sellers and Lloyd",35 Basswood Ave Box 21,,Stittsville,ON,Canada,K2S 1J2,4/30/2022,fernandez.com
hickeyjohn@email.com,Hickey,John,4682694682,001-655-716-4940x871,"Rice, Gould and Mccall",18 Forest Ave,,Port Colborne,ON,Canada,L3K 5E1,10/31/2022,www.phillips.info
shipleywilhelm@email.com,Shipley,Wilhelm,725.960.3587,6110447130,Cordova Group,15 Oriole Pky,,Elmira,ON,Canada,N3B 1B6,11/17/2022,www.jenkins-krueger.info
desjardinsdavid@email.com,Desjardins,David,(836)038-9393x026,001-691-674-8671,Kramer-Parsons,8600 Chemin Devonshire,Unit 21,Mont-Royal,QC,Canada,H4P 2K9,3/19/2022,www.carr.org
mcallisterbrent@email.com,McAllister,Brent,841.483.3064,(274)619-0114,Rice LLC,5795 Don Murie St,,Niagara Falls,ON,Canada,L2E 6X8,3/2/2022,monroe.info
